model,D,invD,abs_alpha,intercept
2design_channel,8,0.125,0.3001167154231938,0.2893267226455738
2design_channel,16,0.0625,0.28938523331355087,0.2893267226455738
2design_channel,32,0.03125,0.2970524225084008,0.2893267226455738
2design_channel,64,0.015625,0.2965394846052456,0.2893267226455738
2design_channel,128,0.0078125,0.2828046901663067,0.2893267226455738
dephasing,8,0.125,0.4917882377352681,0.47451542208185105
dephasing,16,0.0625,0.46917927037467105,0.47451542208185105
dephasing,32,0.03125,0.48158444159563424,0.47451542208185105
dephasing,64,0.015625,0.4634719725494744,0.47451542208185105
dephasing,128,0.0078125,0.48974346634020327,0.47451542208185105
