model,D,count,mean_varY
random2body,16,3,0.01532578181023613
random2body,32,4,0.009389161572733411
random2body,64,5,0.00607081452225682
random2body,128,6,0.00348802124056641
random2body,256,7,0.0022608255274069256
random2body,512,8,0.001988275158106059
pswap,16,3,5.670967925028032e-05
pswap,32,4,3.7464841104601264e-05
pswap,64,5,3.124445617009897e-05
pswap,128,6,1.987886956500195e-05
pswap,256,7,1.458913728236681e-05
pswap,512,8,9.841010924025037e-06
dephasing,16,3,0.0032328689333710864
dephasing,32,4,0.002642709606725525
dephasing,64,5,0.0026834030534616292
dephasing,128,6,0.0026690931777027718
dephasing,256,7,0.0017326221463082464
dephasing,512,8,0.001725373159408404
