y_norm,D_choice,slope_loglog,slope_lo,slope_hi,"best_flatten_p_in_{1,2}",device
no_sqrt,D_total,-1.012462996501718,-1.0204957891401465,-1.003945648535684,1,cuda
no_sqrt,D_stinespring,-1.012462996501718,-1.0204957891401465,-1.003945648535684,1,cuda
no_sqrt,D_env_kraus,-1.012462996501718,-1.0204957891401465,-1.0039456485356841,1,cuda
orig,D_total,-0.9989245750649712,-1.0036718407779515,-0.9925028815738042,1,cuda
orig,D_stinespring,-0.9989245750649712,-1.0036718407779515,-0.9925028815738042,1,cuda
orig,D_env_kraus,-0.9989245750649712,-1.0036718407779512,-0.9925028815738026,1,cuda
scaled_ds,D_total,-0.9989245750649712,-1.0036718407779515,-0.9925028815738042,1,cuda
scaled_ds,D_stinespring,-0.9989245750649712,-1.0036718407779515,-0.9925028815738042,1,cuda
scaled_ds,D_env_kraus,-0.9989245750649712,-1.0036718407779512,-0.9925028815738026,1,cuda
